naive100;naive200;naive300;naive400;naive500;better100;better200;better300;better400;better500;blas100;blas200;blas300;blas400;blas500;tryb
0.006554;0.049226;0.126055;0.293844;0.600215;0.004660;0.059867;0.140353;0.327196;0.629855;0.000744;0.006282;0.021760;0.053105;0.102648;1
0.004671;0.038688;0.127381;0.293281;0.580099;0.004762;0.037532;0.125671;0.296581;0.586737;0.000801;0.006611;0.022747;0.051832;0.109786;1
0.004629;0.037324;0.126493;0.307908;0.640319;0.004672;0.043219;0.147368;0.359769;0.787530;0.001954;0.010518;0.027932;0.097359;0.210871;1
0.005143;0.053126;0.153393;0.318974;0.620704;0.004839;0.038549;0.133692;0.369598;1.000271;0.001540;0.011879;0.046130;0.102998;0.223195;1
0.010061;0.061681;0.194249;0.486400;0.998762;0.006694;0.053038;0.173167;0.549996;0.843898;0.000969;0.007188;0.038604;0.080351;0.189673;1
0.005622;0.054245;0.235787;0.491879;0.919742;0.007219;0.051979;0.157981;0.380438;0.637147;0.000818;0.006527;0.021417;0.053065;0.103337;1
0.004673;0.037410;0.124142;0.295988;0.583698;0.004731;0.038909;0.140949;0.295989;0.582159;0.000849;0.006180;0.021162;0.051127;0.103732;1
0.004689;0.036951;0.125586;0.297070;0.579931;0.004749;0.037480;0.128244;0.297466;0.579295;0.000824;0.006620;0.023816;0.058957;0.102956;1
0.004638;0.037182;0.125853;0.295395;0.574049;0.004638;0.037259;0.127192;0.297765;0.580618;0.000740;0.006197;0.022150;0.052220;0.103356;1
0.004696;0.037060;0.123495;0.292471;0.575187;0.004717;0.037021;0.123705;0.293139;0.586053;0.000808;0.010264;0.033052;0.091328;0.125240;1
0.002134;0.009020;0.028369;0.069507;0.134640;0.000796;0.006102;0.020365;0.047819;0.094777;0.000742;0.006207;0.021233;0.052244;0.101398;2
0.000883;0.008074;0.028037;0.067808;0.134500;0.000788;0.006079;0.020218;0.049531;0.097609;0.000763;0.006154;0.021294;0.050422;0.099716;2
0.000872;0.007970;0.027992;0.067863;0.134860;0.000788;0.006094;0.021744;0.047578;0.093537;0.000734;0.006158;0.021140;0.052877;0.100168;2
0.000872;0.008036;0.028035;0.068874;0.135525;0.000789;0.006111;0.020188;0.049582;0.093837;0.000734;0.006154;0.021146;0.050936;0.099807;2
0.000872;0.008014;0.029188;0.067922;0.137437;0.000794;0.006045;0.020254;0.047636;0.093764;0.000814;0.006668;0.021496;0.050425;0.101556;2
0.000872;0.007982;0.028016;0.068798;0.134535;0.000792;0.006081;0.020507;0.047702;0.096172;0.000738;0.006154;0.021145;0.050565;0.102136;2
0.000926;0.008029;0.028021;0.067816;0.136097;0.000791;0.006088;0.020264;0.048361;0.093497;0.000733;0.006169;0.022050;0.050796;0.100765;2
0.000943;0.007975;0.028162;0.067889;0.135524;0.000789;0.006059;0.020237;0.047594;0.095296;0.000759;0.006211;0.021145;0.050746;0.103797;2
0.000948;0.008582;0.030417;0.068201;0.135826;0.000792;0.006115;0.020191;0.047560;0.094543;0.000735;0.006219;0.021082;0.050321;0.101749;2
0.000872;0.007984;0.028075;0.068954;0.134369;0.000789;0.006037;0.020249;0.049593;0.097634;0.000733;0.006240;0.021116;0.050320;0.102471;2
