naive100;naive200;naive300;naive400;naive500;better100;better200;better300;better400;better500;blas100;blas200;blas300;blas400;blas500
0.002134;0.009020;0.028369;0.069507;0.134640;0.000796;0.006102;0.020365;0.047819;0.094777;0.000742;0.006207;0.021233;0.052244;0.101398
0.000883;0.008074;0.028037;0.067808;0.134500;0.000788;0.006079;0.020218;0.049531;0.097609;0.000763;0.006154;0.021294;0.050422;0.099716
0.000872;0.007970;0.027992;0.067863;0.134860;0.000788;0.006094;0.021744;0.047578;0.093537;0.000734;0.006158;0.021140;0.052877;0.100168
0.000872;0.008036;0.028035;0.068874;0.135525;0.000789;0.006111;0.020188;0.049582;0.093837;0.000734;0.006154;0.021146;0.050936;0.099807
0.000872;0.008014;0.029188;0.067922;0.137437;0.000794;0.006045;0.020254;0.047636;0.093764;0.000814;0.006668;0.021496;0.050425;0.101556
0.000872;0.007982;0.028016;0.068798;0.134535;0.000792;0.006081;0.020507;0.047702;0.096172;0.000738;0.006154;0.021145;0.050565;0.102136
0.000926;0.008029;0.028021;0.067816;0.136097;0.000791;0.006088;0.020264;0.048361;0.093497;0.000733;0.006169;0.022050;0.050796;0.100765
0.000943;0.007975;0.028162;0.067889;0.135524;0.000789;0.006059;0.020237;0.047594;0.095296;0.000759;0.006211;0.021145;0.050746;0.103797
0.000948;0.008582;0.030417;0.068201;0.135826;0.000792;0.006115;0.020191;0.047560;0.094543;0.000735;0.006219;0.021082;0.050321;0.101749
0.000872;0.007984;0.028075;0.068954;0.134369;0.000789;0.006037;0.020249;0.049593;0.097634;0.000733;0.006240;0.021116;0.050320;0.102471
